,W,Reject null hypothesis
7130b82cc0bd7dad0007c4320d102fe1,722,True
3ac3f4c7c45515628515b0eacf5170d5,121,False
789435b25e3900a5492c25e9217b6aaa,124,False
ff87795cecc4edbc180c779cefee28b1,117,False
c2ba738f2b272dc393d4561ba0b3453b,116,False
14d2386d647a6cd231236035f18014e9,132,False
2a2f3f401b002d68e17c880024e07b27,120,False
0e435eb858e25a5e4b5b69f6154976aa,678,True
44eebae31115e43c0d2d4d16d116af10,466,False
4ff24fc8bbb1263940427ba778d2367b,128,False
15f92246da9d186be06e176a3eb7a8d2,132,False
8bbecc69652b18225610e5ab4f5f9773,391,False
b2979772d1c3a1305eadc09dc1655279,184,False
c704107a9b045b2d7ed07ca079eae6de,121,False
fd50bd86698e7a3008016387e404313d,700,True
774c45094cda1b8dd6927b5286286851,180,False
808706088521bb561505ba63d8393b35,331,False
afac895bca45f4f94b0aeb994bac629a,756,True
403070f17c485e70cde5c562593c67f4,136,False
ad79ba6352cf31e4429e656c67644bfc,679,True
91f31decc5da48ca6f11b5d662f7ceab,678,True
93792b0e02860a8ff072dd0fa2a82242,326,False
6f63abb4e38bbd27cc340c36ecb3d81d,149,False
397629a13780ea07001483c8749fd839,121,False
b704c6646405327b04e805accfb8d5e9,118,False
9aa9dbd14e49b158bd686d0371483771,136,False
927381a65ddaa2800255c9186c9b1aaa,200,False
ff5c436386dfa93a6fa6fb71b895d925,126,False
2d9330d541fc8b3acb7b13258954b970,261,False
47866fc93c1bb26e7cd16cf31509866d,118,False
6c479f008552baa5e1cd5c2dcf2adc36,156,False
8684b6a7961c0992abe42d81c59468d4,118,False
e9929c8951a51a9e8c11007e662fa63c,125,False
949a5ce6c5299563540a0ae7bdb6d47f,114,False
ac61645141c4a41006ca8977daea3746,119,False
5e098942aa0c1438e3a39e4be5f277e9,444,False
6837e1794b8f276fa12f9e6b3c4a4319,123,False
493d2874874a8e6755e4bfd44e4bc308,124,False
f799ef0b980160110c80ae42d86f01e2,138,False
fe3b95323dbe9cee4ae611e300cf746e,651,True
0440f62914d9cbd3fab890f7aeaf4ea9,125,False
f89e5e69e205bfcefbf69866a99451d6,117,False
b542bc08396c7cc45e0e5bf1cf5b819b,283,False
59ef2b280ddf2ac0bbb59f4759209bfe,121,False
3b4e02550235d55a4b0fa06c69b2affb,98,False
3dc970a85835231389fa03608d7c4cee,120,False
a958db03aa3bc1e0bb5d5cd1195b9461,107,False
e284982a9e101cacbe436bda97144ad8,154,False
cc3e5ef19e51d43c807feee68e597cfa,121,False
a45571b4d3f200b96c15784943cfe733,138,False
ee4fdcc2df1434013aa74ab0da97e091,192,False
58a9d30d4cc5cd69d82fdf71d9c2ef1b,337,False
4b4818c34ed21a46bafd9991b7366f11,130,False
43155ad133fe7fe9648b4b04d0dc2fe1,138,False
38915b3f47463b131c6bfcfd5aabfd54,191,False
ff747ef6897c3aadb517afa550a96062,128,False
c871f92a5ddfd47adee2d5364c1dff03,139,False
8b5cbe8dce2af84ae952fa4fd783acdb,124,False
e810c62e56c314462c6886cfeafd42f0,162,False
