,Reject null hypothesis,W
15f92246da9d186be06e176a3eb7a8d2,False,36
8bbecc69652b18225610e5ab4f5f9773,False,36
b2979772d1c3a1305eadc09dc1655279,False,35
c704107a9b045b2d7ed07ca079eae6de,False,39
fd50bd86698e7a3008016387e404313d,False,310
774c45094cda1b8dd6927b5286286851,False,36
808706088521bb561505ba63d8393b35,False,42
afac895bca45f4f94b0aeb994bac629a,True,690
403070f17c485e70cde5c562593c67f4,False,33
ad79ba6352cf31e4429e656c67644bfc,False,37
91f31decc5da48ca6f11b5d662f7ceab,False,38
93792b0e02860a8ff072dd0fa2a82242,False,44
6f63abb4e38bbd27cc340c36ecb3d81d,False,47
397629a13780ea07001483c8749fd839,False,35
b704c6646405327b04e805accfb8d5e9,False,37
9aa9dbd14e49b158bd686d0371483771,False,48
927381a65ddaa2800255c9186c9b1aaa,False,39
ff5c436386dfa93a6fa6fb71b895d925,False,40
2d9330d541fc8b3acb7b13258954b970,False,35
47866fc93c1bb26e7cd16cf31509866d,False,37
6c479f008552baa5e1cd5c2dcf2adc36,False,44
8684b6a7961c0992abe42d81c59468d4,False,37
e9929c8951a51a9e8c11007e662fa63c,False,38
949a5ce6c5299563540a0ae7bdb6d47f,False,27
ac61645141c4a41006ca8977daea3746,False,38
5e098942aa0c1438e3a39e4be5f277e9,False,49
6837e1794b8f276fa12f9e6b3c4a4319,False,43
493d2874874a8e6755e4bfd44e4bc308,False,35
f799ef0b980160110c80ae42d86f01e2,False,51
fe3b95323dbe9cee4ae611e300cf746e,False,38
0440f62914d9cbd3fab890f7aeaf4ea9,False,41
f89e5e69e205bfcefbf69866a99451d6,False,31
b542bc08396c7cc45e0e5bf1cf5b819b,False,43
59ef2b280ddf2ac0bbb59f4759209bfe,False,36
3b4e02550235d55a4b0fa06c69b2affb,False,26
3dc970a85835231389fa03608d7c4cee,False,36
a958db03aa3bc1e0bb5d5cd1195b9461,False,31
e284982a9e101cacbe436bda97144ad8,False,46
cc3e5ef19e51d43c807feee68e597cfa,False,39
a45571b4d3f200b96c15784943cfe733,False,49
ee4fdcc2df1434013aa74ab0da97e091,False,42
58a9d30d4cc5cd69d82fdf71d9c2ef1b,False,37
4b4818c34ed21a46bafd9991b7366f11,False,44
43155ad133fe7fe9648b4b04d0dc2fe1,False,49
38915b3f47463b131c6bfcfd5aabfd54,False,37
ff747ef6897c3aadb517afa550a96062,False,42
c871f92a5ddfd47adee2d5364c1dff03,False,46
8b5cbe8dce2af84ae952fa4fd783acdb,False,38
e810c62e56c314462c6886cfeafd42f0,False,52
2dd040db6fdf52c9cf4932d081c19260,False,45
6564ed484a348efe4731e0b6682f0bbb,False,43
5e50837863a571c3a0c2cd1420385e95,False,42
c48582949c0021e011a7b6152f194793,False,41
25f8ea8ed00a773a34168d64618f00ee,False,111
5b8a09c3125aa18eaac67c067d81150f,False,42
222e7a330b9a5e24ed59ec5bc8ceac35,False,45
081037b458c886c15d10dce15ab78c73,False,43
9c85058051573597c542008367c88e5c,False,41
d253d6224ed2783d55dfa63057af8d44,False,41
de752bd4fbe2c53252d88b4361bdd702,False,43
985c7be743a21455a84b3a2fda5d2d27,False,42
2be90cc9bd2811af7cca6bc28463b176,False,41
3bc6d0b911f182dd51d4f47982ebeccf,False,43
dd6b7d79ca460e74664d54d55dfa0d05,False,47
0bacd0a54dbb68d4fbb00d777c5d124f,False,46
0204aa97a655fab087a6f6902be35eb6,False,42
2fcf2f6dfa8b8a33e6ee0dd44b56c093,False,40
30f13baf56a68fc6c2b963515fe6fcc4,False,43
d1f0910bb84c670c9d28bb2afc05001e,False,45
3932630a38a555e7b87153985d994027,False,42
b040c96ee9f644c8665cf927472e08ec,False,44
aa936f0c537796e1770033d4dadceb6c,False,47
f22b87f73bd90eb62ed187c2575f3c87,False,38
fc457ddd7a90a275ac31d6fdf42b92fb,False,41
3ecd95447b41d879f09b98ee906ebed5,False,39
65aae1815c95a370de8476917714bfde,False,42
0a5c41846b15981e676414aa98629229,False,43
ae97cd8f569193b5efab6e755d117c8b,False,43
dc1ba7f984b333918c3778e6e7fc40a8,False,42
383f854f50836090fdcdc05cf9a95078,False,42
c476a045b42b30e13d8a25f4b2e5a226,False,46
fd7fabb9271783a710a6b87681151fed,False,50
60c472c0befcf98a67f70e59c3860efe,False,53
065dac92a2d0d2cba9ea5201375ef768,False,45
7ee96545c595398ff36ebb211e99083e,False,42
dfd4530be5dde0c6451cb8f7bc330d40,False,49
4ec38f820b9e7662305e225473970122,False,44
ecc95de27390f17481f22552111f4519,False,52
db870fbe8d7d9d12fe45bdf880a42b9c,False,48
340655d1aa06c93e323cc5181681a317,False,42
84e235fc249ada26302ffa297081bf99,False,46
587f197385009e5aafb31ddbb8ed20f2,False,43
a9a93930ed630dbf24a2d8cb7397e0dc,False,42
bb187c1666131439ce5e37a827c6f934,False,42
510978386ec7775830ce66ef90f168c6,False,54
b57d46054c48e29d83688bae4f676fea,False,39
61a35a6889dcaf168ee1de897aadd085,False,42
99130863cb0ff5cd92ad67187561057e,False,40
c3acff7e2b1c14c645393fd67c4cf4e6,False,46
f0dda0a0f91c6172e450f7ba90f31e9a,False,54
83192758f0a169af35bebe1352ed5f1a,False,50
f0769a3edaef26be7e92fd1826b22b3f,False,46
e149aec1296f16cb57885d98bc69e616,False,45
d76061b2bcf6f2be7788796a7b9c03b5,False,41
a60427c6af1be00043839e776ac42f86,False,42
cffbe6131ae5774da18f3ed65c2e1eb0,False,44
5d334fe576cbd68ce365caef9637cd00,False,44
c49db6ba7a4fdec899ce0c751c5c259c,False,43
38063f050f997985c98be4f788968899,False,42
